Date,AAPL,MSFT,GOOGL,JPM,XOM,JNJ,AMZN,BRK-B
2020-01-02,22084609,25949445,17780877,20868518,76383544,48551398,17113415,27538204
2020-01-03,71548186,27063550,59563430,57120736,53775659,36244965,74950003,44815015
2020-01-06,47002177,22300259,18031863,16589291,40696932,67634923,39322632,23402892
2020-01-07,35892578,21295425,66481959,32203708,64029440,61360754,30182638,34459182
2020-01-08,25091985,24472917,50150208,51509659,45576501,67555360,39192596,16445215
2020-01-09,33029773,17429151,25457143,50861668,15313678,75031867,65941211,53825889
2020-01-10,44464339,48596175,68448821,58126127,67120735,67319700,62606061,19840459
2020-01-13,60275089,79617617,47586627,63713560,60476103,67741401,24163907,36756887
2020-01-14,16490687,57113988,56606396,62928611,23035168,65969325,16330295,58372007
2020-01-15,61625033,78808437,36603101,18224400,47042513,42710627,74791063,65652692
2020-01-16,57866200,29700387,51799243,61610263,79732844,40448900,46272071,33696830
2020-01-17,69388673,43834845,71212471,30745940,50997148,67695136,28286003,28568284
2020-01-20,47318232,20521452,64261346,71945537,49781535,15802560,32586748,50919794
2020-01-21,60545724,55404754,34811148,20653278,75114464,25508596,69143504,73410616
2020-01-22,26336501,56505238,15621747,49018155,42776772,62472901,48552417,61914171
2020-01-23,20272864,40667617,59438942,73115808,38252177,53390052,24946319,20609366
2020-01-24,18788963,40492108,59787557,36915933,45680559,42117313,55036297,42714080
2020-01-27,69206558,67161962,66612906,42282635,31443262,47368888,31500385,43320135
2020-01-28,26540237,18777341,53177622,32463979,22426041,62470842,74493674,77166185
2020-01-29,75980032,46278965,64214147,39362507,26224905,43354682,62760905,74922508
2020-01-30,68699693,57211548,69755123,75195634,65865533,78193412,31788573,70863236
2020-01-31,47799055,19585315,60462607,71633464,39177315,32146841,51111773,53072309
2020-02-03,78607605,62614485,52916294,55653744,16791456,49758312,74400562,78799592
2020-02-04,20185773,54453363,49537493,64905395,25999719,35111282,23081816,16661257
2020-02-05,27728700,36753779,48850844,60592215,61350340,64812142,39712574,48408062
2020-02-06,36609907,79583022,63341834,67477591,70425057,31183052,52592504,45437645
2020-02-07,26021186,16770403,59514743,19590585,77365463,20924555,42842413,58964631
2020-02-10,49523048,69702920,25774240,27258491,76850768,65603844,16054142,46976637
2020-02-11,69549381,63291558,26275833,27043146,36383518,50408961,72269866,34174474
2020-02-12,39691736,22568370,43398684,33100236,21867526,62910714,32605224,42432621
2020-02-13,58193996,36706642,79258239,67986458,61602704,25699587,37859846,35951549
2020-02-14,50044468,47126501,46601658,53473927,42230555,64614906,60420462,62045186
2020-02-17,68201377,41442309,29857318,55921673,23050405,59600026,38457875,38487580
2020-02-18,39362375,15506995,26084171,23890111,23237180,53483441,33401488,63817204
2020-02-19,55733588,17185454,58441158,59010951,17598677,15157044,66826946,51258287
2020-02-20,58752417,54816526,41966655,19477375,22195918,37649097,26259118,36138355
2020-02-21,41231747,73259896,50148794,52259027,24247076,26789964,21632749,30548509
2020-02-24,58663896,17072723,43906038,61640967,60386254,24384171,75595431,19895344
2020-02-25,74276366,20227528,59011750,16844040,70660273,52682049,78210403,74363556
2020-02-26,57907203,76555999,77366569,72240646,26424241,22966937,54045401,58653369
2020-02-27,22904428,65897283,54873085,66196493,24671832,68499406,66691913,26654534
2020-02-28,26401147,65859057,57950745,17006811,31048180,75286765,28076897,76375184
2020-03-02,62668235,42346769,54954663,60077633,43426388,17006456,18521799,76494227
2020-03-03,69533919,75321284,23151496,22977848,31884214,72364105,50870006,22313589
2020-03-04,69374527,15287635,36817576,63982058,54895909,75798357,20004122,40571594
2020-03-05,60624927,15583510,72487713,65254343,39579521,18235559,41535817,48763608
2020-03-06,17322523,30358589,47285676,33211852,19714714,71700504,41851000,46035322
2020-03-09,79171660,31760394,76502796,69239956,37150768,67407246,43090993,25137559
2020-03-10,77595614,19722340,22451062,42073134,23769311,56890380,31120910,33092993
2020-03-11,41379085,31744725,40482614,39110043,73524948,59320391,51411236,71875674
2020-03-12,19746771,79513977,25304803,32482530,37964675,36463956,45416213,66987538
2020-03-13,23640145,30845187,35324696,68725718,70270827,78657428,48249068,45938297
2020-03-16,67087772,36556188,69119063,18889453,53172754,18040149,19436529,32100636
2020-03-17,66173179,38113003,40211536,57815229,59773313,78513709,17960191,55796132
2020-03-18,48065406,28334305,59439681,77284302,76418713,44219168,64507422,29921354
2020-03-19,15864645,76831756,19528268,45312065,41694369,70953196,65181889,25378806
2020-03-20,16428127,50247913,33999710,18957874,29397197,44739098,41948524,66255826
2020-03-23,70461724,45186120,25052700,35355903,74431438,46231911,36179742,57116443
2020-03-24,23859690,34838558,44696625,49736632,71987937,70494513,71043581,44506516
2020-03-25,58864317,32377414,32264923,53329651,23468899,75116885,48809549,40837401
2020-03-26,52809281,48952323,31869307,60790115,19022610,65105757,55957769,17033621
2020-03-27,56129019,51635794,70922586,58333570,50293960,29897853,52587677,79074181
2020-03-30,38292566,70026153,45590606,66425604,53329030,73976328,64588067,30087882
2020-03-31,63962002,68979613,49447582,75977730,42158173,29207660,22679086,48288698
2020-04-01,64223966,49595998,30090407,56618168,74348812,28622818,60123175,48403195
2020-04-02,77168050,28627775,30974862,46259822,43623834,61213841,45193166,58005603
2020-04-03,23336900,65147490,71837664,35425554,76404094,72427241,27165901,18719931
2020-04-06,33392993,45418772,23924435,16431041,65552811,31952964,26744926,78452391
2020-04-07,43670729,43890300,56596585,73191019,21086540,43544282,73326172,70864616
2020-04-08,52067096,70413150,48338507,53580196,33674894,23742392,39082970,23053633
2020-04-09,63484993,50173714,41098020,55516543,43437165,36181637,16487444,28247416
2020-04-10,15973181,18434078,58992776,21142453,42365047,49610109,52365768,77237546
2020-04-13,60059850,77518452,37295574,65124752,52205256,50976223,73992915,69564411
2020-04-14,33268849,25223903,73617799,22289165,40276396,52098119,31091362,35093843
2020-04-15,61839036,58013953,69271711,32049883,25624757,72156343,23218809,70080981
2020-04-16,58476894,68629114,40587567,35230618,21032419,18808102,26676238,75494207
2020-04-17,47363575,36219187,39001805,23123445,21377844,69037844,43634327,67030589
